country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
El_Salvador,2020-06-15,705,100,75.14285714285714,5.835010060362178
El_Salvador,2020-06-16,705,100,79.28571428571429,5.513307984790883
El_Salvador,2020-06-17,705,100,83.42857142857143,5.225225225225216
El_Salvador,2020-06-18,705,100,87.57142857142857,4.965753424657526
El_Salvador,2020-06-19,705,100,91.71428571428571,4.7308319738988525
El_Salvador,2020-06-20,705,100,95.85714285714286,4.51713395638631
El_Salvador,2020-06-21,705,100,100.0,4.32190760059612
El_Salvador,2020-06-22,906,129,104.14285714285714,4.142857142857137
El_Salvador,2020-06-23,906,129,108.28571428571429,3.978052126200282
El_Salvador,2020-06-24,906,129,112.42857142857143,3.825857519788922
El_Salvador,2020-06-25,906,129,116.57142857142857,3.684879288437104
El_Salvador,2020-06-26,906,129,120.71428571428571,3.5539215686274384
El_Salvador,2020-06-27,906,129,124.85714285714286,3.4319526627218933
El_Salvador,2020-06-28,906,129,129.0,3.318077803203656
El_Salvador,2020-06-29,1308,186,137.14285714285714,6.3122923588039725
El_Salvador,2020-06-30,1308,186,145.28571428571428,5.937499999999996
El_Salvador,2020-07-01,1308,186,153.42857142857142,5.604719764011801
El_Salvador,2020-07-02,1308,186,161.57142857142858,5.307262569832427
El_Salvador,2020-07-03,1308,186,169.71428571428572,5.039787798408479
El_Salvador,2020-07-04,1308,186,177.85714285714286,4.797979797979801
El_Salvador,2020-07-05,1308,186,186.0,4.578313253012056
El_Salvador,2020-07-06,1843,263,197.0,5.913978494623651
El_Salvador,2020-07-07,1843,263,208.0,5.583756345177671
El_Salvador,2020-07-08,1843,263,219.0,5.288461538461542
El_Salvador,2020-07-09,1843,263,230.0,5.022831050228316
El_Salvador,2020-07-10,1843,263,241.0,4.7826086956521685
El_Salvador,2020-07-11,1843,263,252.0,4.564315352697101
El_Salvador,2020-07-12,1843,263,263.0,4.365079365079372
El_Salvador,2020-07-13,1897,271,264.14285714285717,0.4345464421510181
El_Salvador,2020-07-14,1897,271,265.2857142857143,0.43266630611140666
El_Salvador,2020-07-15,1897,271,266.42857142857144,0.4308023694130414
El_Salvador,2020-07-16,1897,271,267.57142857142856,0.4289544235924758
El_Salvador,2020-07-17,1897,271,268.7142857142857,0.4271222637480143
El_Salvador,2020-07-18,1897,271,269.85714285714283,0.4253056884635731
El_Salvador,2020-07-19,1897,271,271.0,0.42350449973531656
El_Salvador,2020-07-20,2172,310,276.57142857142856,2.0558777016341567
El_Salvador,2020-07-21,2172,310,282.14285714285717,2.0144628099173723
El_Salvador,2020-07-22,2172,310,287.7142857142857,1.9746835443037902
El_Salvador,2020-07-23,2172,310,293.2857142857143,1.9364448857994043
El_Salvador,2020-07-24,2172,310,298.85714285714283,1.8996590355577103
El_Salvador,2020-07-25,2172,310,304.42857142857144,1.8642447418738106
El_Salvador,2020-07-26,2172,310,310.0,1.8301267010792932
El_Salvador,2020-07-27,2784,397,322.42857142857144,4.009216589861753
El_Salvador,2020-07-28,2784,397,334.85714285714283,3.8546743464776156
El_Salvador,2020-07-29,2784,397,347.2857142857143,3.711604095563148
El_Salvador,2020-07-30,2784,397,359.7142857142857,3.5787741670094686
El_Salvador,2020-07-31,2784,397,372.14285714285717,3.4551231135822036
El_Salvador,2020-08-01,2784,397,384.57142857142856,3.3397312859884787
El_Salvador,2020-08-02,2784,397,397.0,3.2317979197622693
El_Salvador,2020-08-03,2818,402,397.7142857142857,0.17992083483266974
El_Salvador,2020-08-04,2818,402,398.42857142857144,0.17959770114943652
El_Salvador,2020-08-05,2818,402,399.14285714285717,0.17927572606668551
El_Salvador,2020-08-06,2818,402,399.85714285714283,0.17895490336434783
El_Salvador,2020-08-07,2818,402,400.57142857142856,0.17863522686674127
El_Salvador,2020-08-08,2818,402,401.2857142857143,0.1783166904422373
El_Salvador,2020-08-09,2818,402,402.0,0.17799928800283915
El_Salvador,2020-08-10,2975,425,405.2857142857143,0.8173418621179707
El_Salvador,2020-08-11,2975,425,408.57142857142856,0.8107155445893577
El_Salvador,2020-08-12,2975,425,411.85714285714283,0.8041958041957953
El_Salvador,2020-08-13,2975,425,415.14285714285717,0.7977800901838528
El_Salvador,2020-08-14,2975,425,418.42857142857144,0.7914659325533258
El_Salvador,2020-08-15,2975,425,421.7142857142857,0.7852509388869944
El_Salvador,2020-08-16,2975,425,425.0,0.7791327913279078
El_Salvador,2020-08-17,2489,355,415.0,-2.352941176470591
El_Salvador,2020-08-18,2489,355,405.0,-2.409638554216864
El_Salvador,2020-08-19,2489,355,395.0,-2.4691358024691357
El_Salvador,2020-08-20,2489,355,385.0,-2.5316455696202556
El_Salvador,2020-08-21,2489,355,375.0,-2.5974025974025983
El_Salvador,2020-08-22,2489,355,365.0,-2.6666666666666616
El_Salvador,2020-08-23,2489,355,355.0,-2.73972602739726
El_Salvador,2020-08-24,1710,244,339.14285714285717,-4.466800804828964
El_Salvador,2020-08-25,1710,244,323.2857142857143,-4.675652906486949
El_Salvador,2020-08-26,1710,244,307.42857142857144,-4.904993371630573
El_Salvador,2020-08-27,1710,244,291.57142857142856,-5.157992565055769
El_Salvador,2020-08-28,1710,244,275.7142857142857,-5.438510534051932
El_Salvador,2020-08-29,1710,244,259.85714285714283,-5.751295336787576
El_Salvador,2020-08-30,1710,244,244.0,-6.102253985706419
El_Salvador,2020-08-31,1107,158,231.71428571428572,-5.035128805620603
El_Salvador,2020-09-01,1107,158,219.42857142857142,-5.30209617755858
El_Salvador,2020-09-02,1107,158,207.14285714285714,-5.598958333333326
El_Salvador,2020-09-03,1107,158,194.85714285714286,-5.931034482758612
El_Salvador,2020-09-04,1107,158,182.57142857142858,-6.304985337243396
El_Salvador,2020-09-05,1107,158,170.28571428571428,-6.729264475743357
El_Salvador,2020-09-06,1107,158,158.0,-7.214765100671139
El_Salvador,2020-09-07,579,82,147.14285714285714,-6.871609403254975
El_Salvador,2020-09-08,579,82,136.28571428571428,-7.37864077669903
El_Salvador,2020-09-09,579,82,125.42857142857143,-7.966457023060791
El_Salvador,2020-09-10,579,82,114.57142857142857,-8.656036446469251
El_Salvador,2020-09-11,579,82,103.71428571428571,-9.476309226932667
El_Salvador,2020-09-12,579,82,92.85714285714286,-10.468319559228645
El_Salvador,2020-09-13,579,82,82.0,-11.69230769230769
El_Salvador,2020-09-14,701,100,84.57142857142857,3.1358885017421567
El_Salvador,2020-09-15,701,100,87.14285714285714,3.0405405405405483
El_Salvador,2020-09-16,701,100,89.71428571428571,2.9508196721311553
El_Salvador,2020-09-17,701,100,92.28571428571429,2.866242038216571
El_Salvador,2020-09-18,701,100,94.85714285714286,2.786377708978316
El_Salvador,2020-09-19,701,100,97.42857142857143,2.710843373493965
El_Salvador,2020-09-20,701,100,100.0,2.639296187683282
El_Salvador,2020-09-21,544,77,96.71428571428571,-3.285714285714292
El_Salvador,2020-09-22,544,77,93.42857142857143,-3.3973412112259904
El_Salvador,2020-09-23,544,77,90.14285714285714,-3.5168195718654482
El_Salvador,2020-09-24,544,77,86.85714285714286,-3.6450079239302657
El_Salvador,2020-09-25,544,77,83.57142857142857,-3.782894736842113
El_Salvador,2020-09-26,544,77,80.28571428571429,-3.9316239316239177
El_Salvador,2020-09-27,544,77,77.0,-4.0925266903914626
El_Salvador,2020-09-28,1077,153,87.85714285714286,14.10018552875696
El_Salvador,2020-09-29,1077,153,98.71428571428571,12.357723577235769
El_Salvador,2020-09-30,1077,153,109.57142857142857,10.998552821997109
El_Salvador,2020-10-01,1077,153,120.42857142857143,9.908735332464147
El_Salvador,2020-10-02,1077,153,131.28571428571428,9.015421115065237
El_Salvador,2020-10-03,1077,153,142.14285714285714,8.26985854189337
El_Salvador,2020-10-04,1077,153,153.0,7.638190954773871
El_Salvador,2020-10-05,820,117,147.85714285714286,-3.361344537815125
El_Salvador,2020-10-06,820,117,142.71428571428572,-3.4782608695652195
El_Salvador,2020-10-07,820,117,137.57142857142858,-3.6036036036036
El_Salvador,2020-10-08,820,117,132.42857142857142,-3.7383177570093684
El_Salvador,2020-10-09,820,117,127.28571428571429,-3.883495145631055
El_Salvador,2020-10-10,820,117,122.14285714285714,-4.040404040404044
El_Salvador,2020-10-11,820,117,117.0,-4.210526315789476
El_Salvador,2020-10-12,746,106,115.42857142857143,-1.3431013431013383
El_Salvador,2020-10-13,746,106,113.85714285714286,-1.3613861386138626
El_Salvador,2020-10-14,746,106,112.28571428571429,-1.3801756587201952
El_Salvador,2020-10-15,746,106,110.71428571428571,-1.399491094147598
El_Salvador,2020-10-16,746,106,109.14285714285714,-1.4193548387096744
