country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area6,2020-02-07,14,3,-6.142857142857143,16.216216216216228,5
area1,2020-02-07,8,-14,-6.428571428571429,7.14285714285714,6
area0,2020-02-07,11,-2,-8.0,-1.754385964912275,7
area14,2020-02-07,7,-10,-7.571428571428571,-3.6363636363636376,8
area8,2020-02-07,12,-1,-6.428571428571429,-4.255319148936165,9
area2,2020-02-07,15,-6,-5.428571428571429,-9.523809523809524,10
area10,2020-02-08,6,-10,-4.428571428571429,40.90909090909092,1
area4,2020-02-08,6,-3,-7.428571428571429,26.82926829268293,2
area5,2020-02-08,6,-2,-6.0,19.999999999999996,3
area1,2020-02-08,9,1,-7.0,8.888888888888879,4
area3,2020-02-08,9,2,-8.142857142857142,3.6363636363636376,5
area11,2020-02-08,6,-7,-5.857142857142857,2.499999999999991,6
area2,2020-02-08,7,-8,-5.428571428571429,0.0,7
area0,2020-02-08,9,-2,-7.857142857142857,-1.7857142857142905,8
area15,2020-02-08,6,-6,-7.571428571428571,-1.85185185185186,9
area14,2020-02-08,9,2,-6.285714285714286,-16.981132075471695,10
area13,2020-02-09,7,-1,-6.0,55.55555555555556,1
area12,2020-02-09,6,-5,-8.571428571428571,53.846153846153854,2
area8,2020-02-09,4,-9,-5.857142857142857,20.58823529411764,3
area2,2020-02-09,6,-1,-5.857142857142857,7.894736842105243,4
area9,2020-02-09,8,2,-3.857142857142857,0.0,5
area15,2020-02-09,5,-1,-6.571428571428571,-13.207547169811317,6
area14,2020-02-09,5,-4,-5.285714285714286,-15.909090909090907,7
area4,2020-02-09,5,-1,-6.0,-19.23076923076923,8
area0,2020-02-09,5,-4,-6.0,-23.636363636363633,9
area10,2020-02-09,3,-3,-3.2857142857142856,-25.806451612903235,10
area6,2020-02-10,2,-3,-4.285714285714286,50.0,1
area7,2020-02-10,3,-8,-4.285714285714286,42.85714285714286,2
area5,2020-02-10,1,-4,-4.428571428571429,19.23076923076923,3
area3,2020-02-10,7,-2,-4.857142857142857,0.0,4
area10,2020-02-10,9,6,-3.2857142857142856,0.0,4
area11,2020-02-10,5,-3,-3.857142857142857,-9.999999999999998,6
